HeapSort
Tamanho	Tipo	Média(ms)	DesvioPadrao(ms)
4	PiorCaso	0.0	0.0
4	Aleatorio	0.0	0.0
16	PiorCaso	0.0	0.0
16	Aleatorio	0.0	0.0
64	PiorCaso	0.0	0.0
64	Aleatorio	0.0	0.0
256	PiorCaso	0.0	0.0
256	Aleatorio	0.0	0.0
1024	PiorCaso	0.05	0.21794494717703355
1024	Aleatorio	0.05	0.2179449471770336
4096	PiorCaso	0.2	0.4000000000000001
4096	Aleatorio	0.3	0.4582575694955839
16384	PiorCaso	0.8	0.5099019513592785
16384	Aleatorio	1.15	0.3570714214271425
65536	PiorCaso	3.2	0.39999999999999997
65536	Aleatorio	5.3	0.5567764362830021
262144	PiorCaso	13.5	0.8660254037844386
262144	Aleatorio	23.15	0.7262919523166974
1048576	PiorCaso	57.3	0.9
1048576	Aleatorio	108.35	2.414021540914663
