Algoritmo | Tamanho | Caso | Tempo Médio (s) | Desvio Padrão (s)
HeapSort | 1 | Melhor | 0,000000 | 0,000000
HeapSort | 1 | Pior | 0,000000 | 0,000000
HeapSort | 1 | Médio | 0,000000 | 0,000000
HeapSort | 4 | Melhor | 0,000001 | 0,000001
HeapSort | 4 | Pior | 0,000001 | 0,000001
HeapSort | 4 | Médio | 0,000000 | 0,000001
HeapSort | 16 | Melhor | 0,000001 | 0,000000
HeapSort | 16 | Pior | 0,000001 | 0,000000
HeapSort | 16 | Médio | 0,000001 | 0,000000
HeapSort | 64 | Melhor | 0,000004 | 0,000002
HeapSort | 64 | Pior | 0,000002 | 0,000001
HeapSort | 64 | Médio | 0,000003 | 0,000001
HeapSort | 256 | Melhor | 0,000010 | 0,000002
HeapSort | 256 | Pior | 0,000008 | 0,000002
HeapSort | 256 | Médio | 0,000011 | 0,000002
HeapSort | 1024 | Melhor | 0,000032 | 0,000003
HeapSort | 1024 | Pior | 0,000028 | 0,000004
HeapSort | 1024 | Médio | 0,000060 | 0,000016
HeapSort | 4096 | Melhor | 0,000182 | 0,000023
HeapSort | 4096 | Pior | 0,000208 | 0,000036
HeapSort | 4096 | Médio | 0,000240 | 0,000013
HeapSort | 16384 | Melhor | 0,000661 | 0,000027
HeapSort | 16384 | Pior | 0,000706 | 0,000010
HeapSort | 16384 | Médio | 0,001290 | 0,000240
HeapSort | 65536 | Melhor | 0,003030 | 0,000226
HeapSort | 65536 | Pior | 0,003091 | 0,000153
HeapSort | 65536 | Médio | 0,004894 | 0,000050
HeapSort | 262144 | Melhor | 0,012511 | 0,000255
HeapSort | 262144 | Pior | 0,013224 | 0,000262
HeapSort | 262144 | Médio | 0,022859 | 0,000338
HeapSort | 1048576 | Melhor | 0,053834 | 0,000518
HeapSort | 1048576 | Pior | 0,056029 | 0,000840
HeapSort | 1048576 | Médio | 0,107475 | 0,002187
