Algoritmo | Tamanho | Caso | Tempo Médio (s) | Desvio Padrão (s)
MergeSort | 1 | Melhor | 0,000000 | 0,000000
MergeSort | 1 | Pior | 0,000000 | 0,000000
MergeSort | 1 | Médio | 0,000000 | 0,000000
MergeSort | 4 | Melhor | 0,000001 | 0,000001
MergeSort | 4 | Pior | 0,000005 | 0,000018
MergeSort | 4 | Médio | 0,000001 | 0,000003
MergeSort | 16 | Melhor | 0,000003 | 0,000002
MergeSort | 16 | Pior | 0,000001 | 0,000001
MergeSort | 16 | Médio | 0,000001 | 0,000000
MergeSort | 64 | Melhor | 0,000004 | 0,000003
MergeSort | 64 | Pior | 0,000005 | 0,000009
MergeSort | 64 | Médio | 0,000004 | 0,000001
MergeSort | 256 | Melhor | 0,000013 | 0,000003
MergeSort | 256 | Pior | 0,000013 | 0,000002
MergeSort | 256 | Médio | 0,000021 | 0,000003
MergeSort | 1024 | Melhor | 0,000056 | 0,000003
MergeSort | 1024 | Pior | 0,000066 | 0,000020
MergeSort | 1024 | Médio | 0,000104 | 0,000015
MergeSort | 4096 | Melhor | 0,000170 | 0,000012
MergeSort | 4096 | Pior | 0,000130 | 0,000010
MergeSort | 4096 | Médio | 0,000363 | 0,000367
MergeSort | 16384 | Melhor | 0,000525 | 0,000107
MergeSort | 16384 | Pior | 0,000462 | 0,000292
MergeSort | 16384 | Médio | 0,001185 | 0,000099
MergeSort | 65536 | Melhor | 0,002458 | 0,000128
MergeSort | 65536 | Pior | 0,002401 | 0,000278
MergeSort | 65536 | Médio | 0,005041 | 0,000190
MergeSort | 262144 | Melhor | 0,007261 | 0,000453
MergeSort | 262144 | Pior | 0,007352 | 0,000506
MergeSort | 262144 | Médio | 0,023169 | 0,001815
MergeSort | 1048576 | Melhor | 0,033280 | 0,002031
MergeSort | 1048576 | Pior | 0,033342 | 0,001230
MergeSort | 1048576 | Médio | 0,098526 | 0,000719
