Algoritmo | Tamanho | Caso | Tempo Médio(s) | Desvio Padrão(s)
QuickSort | 1 | Melhor | 0,000001 | 0,000001
QuickSort | 1 | Pior | 0,000000 | 0,000001
QuickSort | 1 | Médio | 0,000000 | 0,000000
QuickSort | 4 | Melhor | 0,000001 | 0,000001
QuickSort | 4 | Pior | 0,000002 | 0,000003
QuickSort | 4 | Médio | 0,000001 | 0,000002
QuickSort | 16 | Melhor | 0,000005 | 0,000005
QuickSort | 16 | Pior | 0,000001 | 0,000002
QuickSort | 16 | Médio | 0,000002 | 0,000002
QuickSort | 64 | Melhor | 0,000004 | 0,000002
QuickSort | 64 | Pior | 0,000007 | 0,000010
QuickSort | 64 | Médio | 0,000003 | 0,000000
QuickSort | 256 | Melhor | 0,000011 | 0,000003
QuickSort | 256 | Pior | 0,000012 | 0,000003
QuickSort | 256 | Médio | 0,000015 | 0,000001
QuickSort | 1024 | Melhor | 0,000057 | 0,000016
QuickSort | 1024 | Pior | 0,000028 | 0,000003
QuickSort | 1024 | Médio | 0,000042 | 0,000003
QuickSort | 4096 | Melhor | 0,000088 | 0,000004
QuickSort | 4096 | Pior | 0,000121 | 0,000040
QuickSort | 4096 | Médio | 0,000235 | 0,000038
QuickSort | 16384 | Melhor | 0,000450 | 0,000086
QuickSort | 16384 | Pior | 0,000428 | 0,000041
QuickSort | 16384 | Médio | 0,000894 | 0,000038
QuickSort | 65536 | Melhor | 0,001477 | 0,000072
QuickSort | 65536 | Pior | 0,001757 | 0,000212
QuickSort | 65536 | Médio | 0,003970 | 0,000272
QuickSort | 262144 | Melhor | 0,006676 | 0,000375
QuickSort | 262144 | Pior | 0,007350 | 0,000172
QuickSort | 262144 | Médio | 0,017301 | 0,000485
QuickSort | 1048576 | Melhor | 0,025669 | 0,000696
QuickSort | 1048576 | Pior | 0,029535 | 0,000747
QuickSort | 1048576 | Médio | 0,072288 | 0,001556
